Judul_Film,Tahun,Genre
Mencuri Raden Saleh,2022,
Kamu Tidak Sendiri,2022,Mendebarkan atau Menegangkan
Romantik Problematik,2022,Drama
12 Cerita Glen Anggara,2022,Drama
Sayap-Sayap Patah,2022,Drama
Jo Sahabat Sejati,2022,
Wanalathi,2022,
Tumbal Hitam: Darah Anak Melik,2022,Horor
Pengabdi Setan 2: Communion,2022,Horor
"Before, Now & Then (Nana)",2022,Drama
Bukan Cinderella,2022,Drama
The Sacred Riana 2: Bloody Mary,2022,
Sinar untuk Genta,2022,Drama
Ghost Writer 2,2022,Komedi
Between Us,2022,Drama
Perjalanan Pertama,2022,
Ivanna,2022,Horor
The Last Prank,2022,Mendebarkan atau Menegangkan
"How Are You, Really?",2022,Drama
Ranah 3 Warna,2022,Drama
Madu Murni,2022,
Misi Kafe Biru,2022,Drama
Keluarga Cemara 2,2022,Drama
My Sassy Girl,2022,Drama
Naga Naga Naga,2022,
Atas Nama Surga,2022,Drama
Satria Dewa: Gatotkaca,2022,
Rumah Kuntilanak,2022,Horor
Buyut,2022,Horor
Ngeri-ngeri Sedap,2022,
The Doll 3,2022,Horor
Mengejar Surga,2022,Drama
I Love You Before I Met You,2022,Drama
Kopi Pahit,2022,Drama
Srimulat: Hil yang Mustahal Babak Pertama,2022,
Cinta Subuh,2022,Drama
Kambodja,2022,Drama
KKN di Desa Penari (Uncut),2022,Horor
Kuntilanak 3,2022,Horor
Gara-gara Warisan,2022,
KKN di Desa Penari,2022,Horor
DJS the Movie: Biarkan Aku Menari,2022,Drama
Oma the Demonic,2022,Horor
Sang Saudagar #Tabepuang,2022,
Walking Dead - Tomate,2022,Horor
Tutuge,2022,
I Need You Baby,2022,Komedi
Selimut Kabut Rongkong,2022,Drama
Pulang,2022,Drama
Tuhan Minta Duit,2022,Drama
Menjelang Magrib,2022,Horor
Rio the Survivor,2022,Drama
Baby Blues,2022,
"Hayya 2: Dream, Hope & Reality",2022,Drama
Jakarta vs Everybody,2022,Drama
7-24,2022,Drama
Satu untuk Selamanya,2022,Drama
Marley,2022,Drama
The Other Side,2022,Drama
Iblis dalam Kandungan,2022,Horor
Garis Waktu,2022,Drama
Ambo Nai Sopir Andalan,2022,
Clandestine,2022,
Father & Son,2022,Drama
Pelangi Tanpa Warna,2022,Drama
Tikam Polisi Noken,2022,Laga
Bede - Pulang ke Pelukmu,2022,
Arini by Love.inc,2022,Drama
Kukira Kau Rumah,2022,Drama
Akad,2022,
Cita-citaku Setinggi Balon,2022,Anak-anak atau keluarga
Ben & Jody,2022,
Just Mom,2022,Drama
Teluh,2022,Horor
Merindu Cahaya de Amstel,2022,Drama
Ada Mertua di Rumahku,2022,
Cek Ombak (Melulu),2022,Drama
Enam Batang,2022,Drama
Penyalin Cahaya,2022,Drama
Dear Nathan: Thank You Salma,2022,Drama
Trah 7,2022,Horor
Bus Om Bebek,2022,
"Cinta Pertama, Kedua & Ketiga",2022,Drama
Backstage,2021,
Makmum 2,2021,Horor
